pgn,white,black,result,moves,white_acpl,black_acpl,white_accuracy,black_accuracy,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,31,51.1,98.0,81.4,71.7,31.2,6.7,7,2,0,3,5,2
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,31,12590.4,6767.3,69.1,57.9,31.2,0.0,7,3,2,3,6,4
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,45,8748.1,4587.0,76.1,70.0,13.0,4.5,10,2,1,6,7,2
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,63,67.1,95.1,76.2,71.0,9.4,0.0,12,7,0,17,9,1
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,31,108.9,160.2,68.2,61.9,12.5,20.0,7,4,2,0,7,4
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,23,54.8,126.4,81.3,64.9,25.0,9.1,4,1,0,3,5,2
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,23,24982.9,18165.5,67.7,50.2,33.3,9.1,1,1,3,1,6,3
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,23,16705.8,9131.7,80.4,70.2,25.0,9.1,1,1,2,1,1,3
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,19,94.3,193.6,71.4,58.7,30.0,0.0,4,4,0,3,2,3
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,24,135.8,68.8,64.7,79.8,0.0,25.0,4,3,3,3,2,1
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,26,115.6,42.3,72.4,83.6,0.0,23.1,6,2,1,3,1,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,16,148.1,56.9,62.3,79.9,0.0,25.0,4,2,2,4,1,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,20,139.8,46.4,67.0,83.3,0.0,20.0,5,1,2,2,2,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,12,141.2,24.2,70.1,90.4,0.0,50.0,0,2,1,1,0,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,20,164.1,69.9,65.8,80.6,10.0,40.0,2,2,3,1,2,1
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,42,9555.6,4796.0,59.7,73.7,14.3,19.0,8,7,4,7,2,4
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,46,106.0,76.8,73.7,80.4,30.4,43.5,1,7,3,3,3,3
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,30,119.3,78.7,69.1,75.2,13.3,20.0,3,2,4,4,6,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,18,11155.0,22283.9,55.8,68.4,0.0,44.4,0,4,3,2,3,1
STOCKFISH_vs_UCT_RAVE.pgn,STOCKFISH,UCT_RAVE,1-0,25,15427.4,8381.0,80.1,67.0,23.1,8.3,2,0,2,2,2,3
STOCKFISH_vs_UCT_RAVE.pgn,STOCKFISH,UCT_RAVE,1-0,27,89.0,151.2,70.8,60.9,0.0,0.0,6,6,0,5,6,2
STOCKFISH_vs_UCT_RAVE.pgn,STOCKFISH,UCT_RAVE,1-0,27,43.8,115.1,87.4,69.6,35.7,7.7,2,0,1,2,5,2
STOCKFISH_vs_UCT_RAVE.pgn,STOCKFISH,UCT_RAVE,1-0,45,8737.9,4566.7,81.8,75.3,17.4,13.6,4,2,2,7,3,2
STOCKFISH_vs_UCT_RAVE.pgn,STOCKFISH,UCT_RAVE,1-0,17,27.2,130.5,89.3,66.0,22.2,0.0,3,0,0,3,3,1
STOCKFISH_vs_UCT_RAVE.pgn,STOCKFISH,UCT_RAVE,1-0,49,110.6,172.2,71.4,59.6,8.0,4.2,4,4,6,6,7,8
STOCKFISH_vs_UCT_RAVE.pgn,STOCKFISH,UCT_RAVE,1-0,13,64.0,230.3,84.3,59.1,42.9,0.0,1,0,1,2,0,3
STOCKFISH_vs_UCT_RAVE.pgn,STOCKFISH,UCT_RAVE,1-0,19,20068.3,11169.7,73.7,59.2,60.0,22.2,1,0,3,2,3,2
STOCKFISH_vs_UCT_RAVE.pgn,STOCKFISH,UCT_RAVE,1-0,25,63.0,81.3,80.1,77.1,38.5,8.3,2,2,1,0,4,1
STOCKFISH_vs_UCT_RAVE.pgn,STOCKFISH,UCT_RAVE,1-0,51,50.1,78.8,82.7,74.5,15.4,12.0,4,6,0,11,6,1
UCT_RAVE_vs_STOCKFISH.pgn,UCT_RAVE,STOCKFISH,0-1,26,7751.2,15420.9,61.4,80.2,0.0,15.4,3,4,3,1,2,1
UCT_RAVE_vs_STOCKFISH.pgn,UCT_RAVE,STOCKFISH,0-1,30,6750.7,13424.5,63.1,77.4,13.3,60.0,3,3,5,2,1,2
UCT_RAVE_vs_STOCKFISH.pgn,UCT_RAVE,STOCKFISH,0-1,12,139.3,37.0,64.3,87.0,0.0,50.0,1,3,1,1,1,0
UCT_RAVE_vs_STOCKFISH.pgn,UCT_RAVE,STOCKFISH,0-1,26,167.6,15468.9,65.6,71.7,0.0,7.7,2,3,4,2,2,2
UCT_RAVE_vs_STOCKFISH.pgn,UCT_RAVE,STOCKFISH,0-1,18,141.8,54.1,64.5,82.6,0.0,44.4,2,3,1,2,2,0
UCT_RAVE_vs_STOCKFISH.pgn,UCT_RAVE,STOCKFISH,0-1,18,127.3,50.3,68.9,84.6,0.0,22.2,2,3,1,0,1,1
UCT_RAVE_vs_STOCKFISH.pgn,UCT_RAVE,STOCKFISH,0-1,18,199.3,97.0,65.3,77.4,11.1,11.1,3,0,3,2,0,2
UCT_RAVE_vs_STOCKFISH.pgn,UCT_RAVE,STOCKFISH,0-1,30,117.5,56.9,67.9,80.0,13.3,26.7,2,7,1,6,3,0
UCT_RAVE_vs_STOCKFISH.pgn,UCT_RAVE,STOCKFISH,0-1,30,126.0,13422.9,68.2,69.8,6.7,13.3,4,5,2,5,3,2
UCT_RAVE_vs_STOCKFISH.pgn,UCT_RAVE,STOCKFISH,0-1,24,8381.0,16727.5,65.9,75.4,0.0,25.0,6,2,2,0,1,3
STOCKFISH_vs_UNIFORM.pgn,STOCKFISH,UNIFORM,1-0,33,90.9,157.1,74.6,59.0,17.6,6.2,4,4,2,4,7,4
STOCKFISH_vs_UNIFORM.pgn,STOCKFISH,UNIFORM,1-0,57,6969.1,3642.3,75.9,67.7,17.2,7.1,6,5,3,8,5,5
