pgn,white,black,result,moves,white_acpl,black_acpl,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,12,180.7,48.2,16.7,66.7,0,2,2,2,1,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,24,152.8,58.6,16.7,33.3,1,4,3,3,3,0
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,17,22303.0,12578.2,44.4,0.0,3,0,3,2,1,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,19,17.7,105.9,60.0,11.1,0,1,0,3,1,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,35,11156.1,5925.3,33.3,0.0,4,0,2,4,5,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,9,31.6,184.0,40.0,25.0,1,0,0,2,0,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,29,13374.6,7183.1,46.7,28.6,3,2,1,3,3,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,21,18215.7,10032.9,27.3,0.0,3,0,1,2,3,3
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,15,49.8,140.9,25.0,0.0,5,0,0,4,1,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,9,40182.6,25229.5,40.0,25.0,0,1,2,1,0,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,21,67.5,141.6,45.5,20.0,3,1,1,1,2,3
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,11,24.8,167.4,33.3,20.0,1,0,0,0,1,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,48,86.5,8395.1,16.7,25.0,2,9,2,3,5,2
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,12,16731.0,33382.2,0.0,33.3,2,3,1,2,1,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,32,102.3,42.9,0.0,25.0,6,4,1,2,3,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,18,96.4,42.9,22.2,22.2,4,3,1,2,1,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,30,121.4,80.5,13.3,33.3,1,3,3,0,4,2
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,30,115.5,54.8,0.0,26.7,3,6,1,2,3,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,30,6699.9,13365.3,0.0,13.3,4,4,2,5,0,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,30,105.5,44.1,13.3,20.0,3,2,3,5,1,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,30,107.1,35.0,0.0,20.0,3,5,2,4,0,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,16,155.2,60.4,0.0,37.5,0,4,3,2,2,0
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,19,20019.1,11128.0,60.0,11.1,1,0,1,4,1,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,33,57.6,120.5,23.5,6.2,6,1,1,7,2,3
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,9,40016.0,25019.0,40.0,0.0,0,0,1,2,0,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,37,10639.6,5630.1,26.3,5.6,4,2,4,0,8,5
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,23,52.9,104.8,25.0,0.0,1,3,0,3,4,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,39,51.4,5300.5,25.0,10.5,1,5,0,5,5,3
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,48,107.8,4243.8,12.5,0.0,6,6,3,6,6,6
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,21,44.9,142.6,27.3,10.0,4,1,0,1,3,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,25,15443.5,8403.0,23.1,8.3,2,2,2,3,4,3
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,15,24.1,133.3,25.0,0.0,1,0,0,3,1,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,48,128.2,65.9,8.3,16.7,3,12,3,8,4,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,24,115.5,16721.8,8.3,58.3,0,4,2,1,2,2
